UniqueKey,Date,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,Winner,HomeOdds,AwayOdds,DrawOdds
27/08/16ChelseaBurnley,27/08/16,Chelsea,Burnley,80.86,58.66,0.7139,0.0914,0.1947,2.04,0.63,3,0,Chelsea,1.25,15,5.5
27/08/16Crystal PalaceBournemouth,27/08/16,Crystal Palace,Bournemouth,54.06,60.24,0.3985,0.3146,0.2869,1.29,1.19,1,1,Draw,2.3,3.3,3.2
27/08/16EvertonStoke,27/08/16,Everton,Stoke,68.06,59.86,0.547,0.1954,0.2575,1.66,0.94,1,0,Everton,1.73,5.25,3.6
27/08/16HullMan United,27/08/16,Hull,Man United,54.79,81.23,0.175,0.5752,0.2498,0.89,1.64,0,1,Man United,8,1.44,4.1
27/08/16LeicesterSwansea,27/08/16,Leicester,Swansea,66.6,59.55,0.5351,0.2056,0.2593,1.65,0.98,2,1,Leicester,1.73,5.25,3.6
27/08/16SouthamptonSunderland,27/08/16,Southampton,Sunderland,68.93,54.48,0.5952,0.1609,0.2439,1.75,0.86,1,1,Draw,1.57,6.5,3.6
27/08/16TottenhamLiverpool,27/08/16,Tottenham,Liverpool,73.71,78.14,0.3967,0.3444,0.2589,1.58,1.46,1,1,Draw,2.38,3,3.4
27/08/16WatfordArsenal,27/08/16,Watford,Arsenal,59.03,81.56,0.1698,0.6133,0.2169,1.15,2.01,1,3,Arsenal,5,1.73,3.75
28/08/16Man CityWest Ham,28/08/16,Man City,West Ham,86.14,63.98,0.7687,0.078,0.1534,2.57,0.7,3,1,Man City,1.25,11,6
28/08/16West BromMiddlesbrough,28/08/16,West Brom,Middlesbrough,59.12,56.62,0.4596,0.2571,0.2833,1.39,1.04,0,0,Draw,2.6,2.9,3.1
10/09/16ArsenalSouthampton,10/09/16,Arsenal,Southampton,81.72,67.78,0.6503,0.1334,0.2163,1.95,0.86,2,1,Arsenal,1.57,6.5,4.2
10/09/16BournemouthWest Brom,10/09/16,Bournemouth,West Brom,59.25,59.02,0.4607,0.2658,0.2735,1.5,1.14,1,0,Bournemouth,2.05,4.33,3.25
10/09/16BurnleyHull,10/09/16,Burnley,Hull,57.38,53.37,0.4633,0.2357,0.301,1.25,0.83,1,1,Draw,2.45,3.4,3.1
10/09/16LiverpoolLeicester,10/09/16,Liverpool,Leicester,78.41,67.06,0.6145,0.1637,0.2218,1.97,1.03,4,1,Liverpool,1.7,5.5,4
10/09/16Man UnitedMan City,10/09/16,Man United,Man City,82.18,86.26,0.3845,0.3543,0.2612,1.53,1.43,1,2,Man City,2.38,3.4,3.25
10/09/16MiddlesbroughCrystal Palace,10/09/16,Middlesbrough,Crystal Palace,56.65,55.03,0.492,0.2184,0.2896,1.35,0.84,1,2,Crystal Palace,2.3,3.6,3.2
10/09/16StokeTottenham,10/09/16,Stoke,Tottenham,59.11,73.33,0.2932,0.4274,0.2794,1.14,1.43,0,4,Tottenham,4.6,1.85,3.75
10/09/16West HamWatford,10/09/16,West Ham,Watford,63.85,58.86,0.5151,0.2355,0.2494,1.8,1.2,2,4,Watford,1.91,4.5,3.6
16/09/16ChelseaLiverpool,16/09/16,Chelsea,Liverpool,81.72,79.28,0.508,0.2532,0.2388,1.88,1.34,1,2,Liverpool,2.25,3.4,3.5
17/09/16EvertonMiddlesbrough,17/09/16,Everton,Middlesbrough,70.76,54.92,0.5906,0.1605,0.2489,1.72,0.78,3,1,Everton,1.67,6,3.8
17/09/16HullArsenal,17/09/16,Hull,Arsenal,53.8,81.95,0.1705,0.5894,0.2401,0.9,1.74,1,4,Arsenal,6,1.6,4.2
17/09/16LeicesterBurnley,17/09/16,Leicester,Burnley,67.38,56.94,0.5477,0.19,0.2623,1.64,0.84,3,0,Leicester,1.5,8,4.33
17/09/16Man CityBournemouth,17/09/16,Man City,Bournemouth,87.58,59.4,0.8085,0.06,0.1315,2.8,0.58,4,0,Man City,1.29,12,6
17/09/16West BromWest Ham,17/09/16,West Brom,West Ham,58.86,62.06,0.4235,0.3021,0.2744,1.46,1.24,4,2,West Brom,2.8,2.8,3.2
18/09/16Crystal PalaceStoke,18/09/16,Crystal Palace,Stoke,56.79,57.23,0.4505,0.2622,0.2872,1.36,1.02,4,1,Crystal Palace,2,4.2,3.5
18/09/16SouthamptonSwansea,18/09/16,Southampton,Swansea,67.66,59.36,0.5339,0.2071,0.2591,1.69,0.96,1,0,Southampton,1.7,5.75,3.8
18/09/16TottenhamSunderland,18/09/16,Tottenham,Sunderland,74.38,53.51,0.656,0.1278,0.2161,2,0.78,1,0,Tottenham,1.33,11,5.5
18/09/16WatfordMan United,18/09/16,Watford,Man United,60.75,81.64,0.2007,0.5667,0.2326,1.15,1.94,3,1,Watford,6,1.62,4.2
24/09/16ArsenalChelsea,24/09/16,Arsenal,Chelsea,83.19,81.1,0.4983,0.2563,0.2453,1.79,1.3,3,0,Arsenal,2.4,3.1,3.5
24/09/16BournemouthEverton,24/09/16,Bournemouth,Everton,58.1,71.31,0.306,0.425,0.269,1.27,1.54,1,0,Bournemouth,3.6,2.15,3.5
24/09/16LiverpoolHull,24/09/16,Liverpool,Hull,79.92,52.27,0.7404,0.0832,0.1765,2.31,0.55,5,1,Liverpool,1.22,15,7
24/09/16Man UnitedLeicester,24/09/16,Man United,Leicester,80.26,68.73,0.6165,0.1536,0.2298,1.87,0.9,4,1,Man United,1.73,5.25,3.9
24/09/16MiddlesbroughTottenham,24/09/16,Middlesbrough,Tottenham,54.34,74.49,0.2622,0.4619,0.2759,1.06,1.48,1,2,Tottenham,3.75,2.1,3.5
24/09/16StokeWest Brom,24/09/16,Stoke,West Brom,55.79,59.09,0.4198,0.2998,0.2804,1.4,1.19,1,1,Draw,2.38,3.3,3.3
24/09/16SunderlandCrystal Palace,24/09/16,Sunderland,Crystal Palace,53.32,58.2,0.4314,0.2844,0.2841,1.37,1.12,2,3,Crystal Palace,2.88,2.7,3.25
24/09/16SwanseaMan City,24/09/16,Swansea,Man City,58.75,88.31,0.0688,0.7915,0.1397,0.98,2.37,1,3,Man City,9,1.36,5.5
25/09/16West HamSouthampton,25/09/16,West Ham,Southampton,61.9,68.19,0.39,0.3417,0.2683,1.47,1.43,0,3,Southampton,2.8,2.75,3.3
26/09/16BurnleyWatford,26/09/16,Burnley,Watford,55.51,62.74,0.3845,0.3389,0.2766,1.37,1.33,2,0,Burnley,2.9,2.7,3.2
30/09/16EvertonCrystal Palace,30/09/16,Everton,Crystal Palace,70.91,59.01,0.5911,0.1656,0.2433,1.77,0.88,1,1,Draw,1.73,5,4
01/10/16HullChelsea,01/10/16,Hull,Chelsea,50.28,79.83,0.1539,0.6221,0.224,0.95,1.87,0,2,Chelsea,7.5,1.5,4.5
01/10/16SunderlandWest Brom,01/10/16,Sunderland,West Brom,52.52,58.94,0.4174,0.3028,0.2798,1.4,1.22,1,1,Draw,2.5,3.2,3.25
01/10/16SwanseaLiverpool,01/10/16,Swansea,Liverpool,58.64,81.61,0.1616,0.634,0.2044,1.21,2.1,1,2,Liverpool,8,1.45,4.75
01/10/16WatfordBournemouth,01/10/16,Watford,Bournemouth,61.59,58.45,0.4891,0.2536,0.2573,1.71,1.21,2,2,Draw,2.38,3.3,3.3
01/10/16West HamMiddlesbrough,01/10/16,West Ham,Middlesbrough,60.07,53.47,0.5018,0.2363,0.2619,1.64,1.1,1,1,Draw,2.25,3.5,3.4
02/10/16BurnleyArsenal,02/10/16,Burnley,Arsenal,56.6,84.61,0.1284,0.6628,0.2088,0.88,1.92,0,1,Arsenal,9,1.4,5
02/10/16LeicesterSouthampton,02/10/16,Leicester,Southampton,67.87,69.83,0.4395,0.2821,0.2784,1.42,1.17,0,0,Draw,2.25,3.5,3.4
02/10/16Man UnitedStoke,02/10/16,Man United,Stoke,81.13,55.95,0.73,0.0876,0.1823,2.33,0.53,1,1,Draw,1.33,10,5.75
02/10/16TottenhamMan City,02/10/16,Tottenham,Man City,76.15,88.4,0.2359,0.5285,0.2356,1.34,1.79,2,0,Tottenham,3,2.5,3.5
